geneNcbiID,diseaseUMLSCUI
130162,C0231712
130340,C0343055
130340,C0033860
130340,C0030246
130340,C4015235
130340,C0392439
130399,C0149782
130540,C1458155
130540,C0003165
130557,C3150879
130557,C0035334
130557,C0154860
130557,C0854723
130589,C5394377
130589,C0016952
130589,C0036341
130749,C0009402
130814,C0023903
130872,C0006142
130951,C5436823
130951,C4021107
130951,C4477100
130951,C3279550
131096,C0751779
131118,C1857776
131118,C3696376
131177,C0036341
131377,C3809209
131377,C5680451
131405,C0020256
131405,C0020255
131405,C5231454
131405,C4021107
131405,C5679774
131405,C3279550
131408,C0006142
131566,C0038356
131566,C0032460
131669,C0268514
131669,C0004134
131669,C2239176
131669,C0025362
131890,C0278883
131965,C1458155
132001,C5774261
132001,C0221629
132001,C0424503
132001,C2267233
132001,C1865916
132001,C0011168
132001,C1145670
132001,C4317146
132001,C1837407
132112,C0006142
132158,C0342765
132158,C1291386
132204,C0241240
132204,C0026827
132204,C3714756
132320,C0752166
132320,C0004106
132320,C0028738
132320,C0557874
132320,C0796102
132320,C0342418
132320,C0040588
132320,C0242567
132320,C0020490
132332,C0011860
132671,C1458155
132671,C0033578
132671,C0376358
132789,C0028754
132789,C0005910
132884,C0013903
132884,C0457013
132884,C0432198
132884,C0024507
132884,C0009402
132884,C1865092
132884,C0265275
132884,C0265215
133383,C0014474
133396,C0268397
133396,C3151404
133396,C0270611
133396,C4551501
133396,C1304242
133418,C0162820
133522,C0028754
133522,C1458155
133522,C0002736
133522,C0020473
133522,C0020476
133584,C0271183
133686,C1857252
134218,C2986691
134218,C0272170
134218,C0030312
134218,C4310744
134218,C0023467
134218,C0349588
134218,C0221217
134218,C0878638
134218,C0006142
134218,C0338656
134218,C4692625
134218,C2051831
134359,C0035334
134359,C0036439
134359,C5680332
134391,C0270736
134430,C0339573
134430,C0017601
134430,C0017612
134430,C0004096
134430,C1835933
134430,C0271183
134510,C1458155
134701,C4225279
134701,C0265343
134701,C1859209
134701,C1837549
134728,C0036341
134728,C1535926
134728,C0004352
134728,C5680525
134728,C1527336
134728,C0086981
134728,C4693860
134829,C0036341
134864,C0036341
135112,C0033578
135138,C0752105
135138,C1868675
135138,C4275179
135152,C0036341
135152,C0004763
135152,C1510586
135228,C1458155
135228,C0009402
135228,C0009404
135228,C0271183
135458,C5543332
135644,C0162823
135656,C0878555
135932,C0027626
135935,C0085215
135935,C0025322
135935,C1969060
135935,C0346153
135935,C5816691
136259,C0011860
136259,C0021655
136259,C0242339
136319,C4277682
136371,C0339573
136371,C1863926
136647,C1955934
136647,C1313961
136647,C1866504
136647,C0006142
136991,C0033578
137196,C0017638
137196,C0555198
137196,C0750974
137196,C0750979
137196,C0006118
137196,C0220624
137196,C2751638
137196,C1334557
137196,C0153633
137209,C0009402
137392,C3887487
137392,C0039075
137392,C4277690
137392,C4282400
137392,C4748721
137492,C3539494
137492,C0037773
137492,C1719404
137682,C4748786
137682,C0023264
137682,C1857395
137682,C5394473
137682,C1836830
137735,C0007193
137814,C0018818
137814,C0041207
137814,C0152021
137814,C0039685
137814,C1857586
137814,C3468561
137814,C1969099
137814,C3151464
137814,C3809312
137814,C1843687
137814,C1837812
137814,C1862394
137814,C2677294
137814,C2751607
137814,C1837014
137814,C2677106
137814,C3151431
137814,C3809311
137814,C3279695
137814,C4014269
137814,C3279693
137814,C0007789
137835,C0018801
137835,C0018802
137868,C0029574
137868,C0037274
137868,C0037277
137868,C0154536
137872,C0006142
