geneNcbiID,diseaseUMLSCUI
51163,C0002736
51163,C5561941
51163,C0006111
51163,C0085584
51164,C0010674
51164,C0033817
51166,C2239176
51167,C0011860
51167,C0006142
51168,C1838263
51168,C3711374
51168,C0018784
51168,C1384666
51168,C1846647
51168,C5680182
51168,C1865866
51168,C0452138
51168,C5680250
51168,C4016803
51168,C0266589
51168,C1567741
51168,C5779549
51171,C0271183
51172,C1836484
51174,C0152427
51176,C0009402
51176,C1458155
51176,C0009375
51176,C0023434
51176,C0036503
51176,C0919267
51176,C1299247
51176,C1140680
51176,C0027626
51176,C1851849
51176,C4228778
51176,C1835244
51176,C0265554
51177,C0005587
51177,C0236780
51177,C0005586
51177,C0024713
51179,C2239176
51179,C4277682
51179,C0008370
51181,C0268162
51181,C0033578
51181,C0028754
51182,C0026636
51182,C0006142
51185,C0026764
51185,C3714756
51185,C5680181
51185,C1843942
51185,C0497552
51185,C0025363
51185,C0917816
51185,C0000771
51185,C0020796
51194,C0001973
51194,C0020256
51195,C2673198
51195,C0376358
51196,C1853124
51196,C0027726
51196,C0279626
51196,C0038356
51196,C0017668
51196,C0019100
51196,C0278701
51196,C0022658
51196,C0033687
51196,C0001418
51196,C3496337
51196,C0022680
51196,C0017658
51196,C4273714
51196,C0239937
51199,C3553870
51199,C4749303
51201,C2239176
51201,C0023903
51201,C0009402
51201,C0043094
51203,C0009404
51203,C2239176
51203,C3150667
51204,C0023264
51204,C0268237
51204,C5436689
51204,C5435656
51206,C0027051
51206,C3280120
51206,C0042974
51206,C0010072
51206,C0011860
51206,C0040034
51206,C0155626
51206,C0340804
51206,C0029804
51206,C0005818
51206,C1458140
51208,C0004096
51208,C0025160
51218,C4225155
51218,C0002896
51218,C4225178
51218,C4225425
51218,C4304054
51224,C0376358
51224,C0009402
51225,C0002395
51227,C4539843
51227,C0393706
51227,C0033578
51230,C0349588
51232,C1865286
51241,C5543491
51244,C4225196
51244,C5568849
51247,C0009404
51251,C1849507
51251,C0002882
51251,C0263454
51256,C0221355
51256,C2243051
51256,C3806412
51259,C0265215
51259,C1842577
51259,C0431399
51259,C1864148
51259,C1691228
51259,C0266461
51259,C0266483
51259,C2362742
51259,C4551563
51259,C1879312
51259,C0266462
51259,C0266463
51259,C0020225
51259,C0477971
51259,C2745997
51259,C1855675
51259,C0497552
51266,C2239176
51267,C0004030
51267,C3279774
51268,C0282528
51268,C3810445
51268,C0271514
51271,C5193084
51271,C5816771
51271,C1858106
51272,C0042133
51279,C4551499
51279,C4310681
51280,C0152013
51280,C1335060
51284,C0024141
51284,C0019196
51284,C5203670
51284,C2239176
51284,C1269683
51284,C0041696
51284,C5676884
51284,C5435745
51284,C0029342
51284,C0162820
51285,C5561962
51285,C0011991
51285,C0008370
51291,C1269683
51291,C0041696
51292,C0038356
51292,C0001418
51293,C4749905
51293,C0348484
51294,C4707858
51294,C0013421
51294,C0007758
51294,C0001973
51294,C0154832
51294,C4538630
51294,C0424503
51294,C0265235
51297,C2985290
51299,C0036341
51300,C0023264
51300,C1838979
51300,C4748838
51302,C2239176
51302,C1510586
51303,C1335060
51303,C0152013
51305,C2676770
51305,C0014553
51305,C0008073
51305,C0525045
51305,C1510586
51308,C3810160
51308,C0037773
51311,C0019196
51311,C0002880
51311,C5676883
51311,C0011616
51311,C0021051
51311,C4015070
51311,C0029408
51312,C0002871
51314,C4551720
51314,C1970506
51314,C0006142
51314,C0265747
51314,C0008780
51314,C0478019
51316,C2239176
51317,C3714756
51317,C5231476
51317,C1832588
51317,C0677886
51319,C0036341
51319,C5193077
51319,C5680181
51320,C0004238
51320,C0409667
51320,C0157917
51320,C0157916
51320,C0157918
51322,C4225239
51322,C5681129
51322,C1535926
51322,C5190804
51322,C0009402
51322,C4022738
51322,C5680527
51322,C0033578
51324,C1855346
51324,C0037773
51324,C0001973
51330,C2609414
51330,C0022660
51330,C0027051
51330,C1565662
51332,C0454644
51332,C0004352
51332,C0026351
51332,C0856975
51332,C0151526
51338,C0002395
51338,C0157917
51338,C0409667
51338,C0157918
51338,C0157916
51339,C0265246
51339,C0152426
51339,C4479534
51339,C0009404
51339,C0009402
51339,C3891448
51339,C0014067
51340,C1368295
51340,C0206710
51340,C0553723
51340,C0151779
51341,C0023467
51341,C0033578
51341,C5676928
51341,C0017636
51341,C4022738
51341,C0278878
51341,C1514422
51343,C5774263
51343,C0007758
51343,C0036572
51343,C0557874
51343,C0004352
51343,C0026827
51343,C0032578
51343,C5680057
51347,C0152013
51347,C0376358
51347,C1535926
51347,C0149925
51350,C0006142
51360,C1839988
51360,C3887525
