geneNcbiID,diseaseUMLSCUI
6887,C0023493
6887,C0023449
6887,C1335469
6888,C1291329
6888,C2239176
6888,C0007001
6888,C0086543
6888,C4551563
6888,C4277682
6888,C1837397
6888,C0030567
6890,C1858266
6890,C0011854
6890,C0038013
6890,C0007847
6890,C0004096
6890,C0007873
6890,C0033860
6890,C0041327
6890,C0036341
6890,C0035455
6890,C0035012
6890,C1258104
6890,C0002390
6890,C0006267
6890,C0033578
6890,C0152085
6890,C0020517
6890,C0017612
6890,C0151744
6890,C0032273
6890,C4016311
6891,C0011854
6891,C0003873
6891,C1858266
6891,C0302592
6891,C0041327
6891,C0026769
6891,C0024141
6891,C0033860
6891,C0007873
6891,C0007847
6891,C0038013
6891,C0036341
6891,C0035012
6891,C0002395
6891,C0023351
6891,C0019100
6891,C1258104
6891,C0152085
6891,C0748540
6891,C3552634
6891,C0162820
6891,C0032273
6892,C1858266
6892,C0036341
6892,C0085110
6895,C0920269
6897,C5231403
6897,C1955934
6897,C0027121
6898,C0268487
6898,C0268483
6898,C1879362
6898,C4551563
6899,C0220704
6899,C0012236
6899,C0039685
6899,C0018798
6899,C0036341
6899,C0020626
6899,C0018818
6899,C0795907
6899,C0376634
6899,C2675369
6899,C0525045
6899,C0009402
6899,C0033975
6899,C0349204
6899,C0014544
6899,C1857586
6899,C0036572
6899,C0152101
6899,C0018784
6899,C0220687
6899,C0032460
6900,C0036572
6900,C3809374
6900,C4273988
6901,C0574083
6901,C0007193
6901,C1960469
6901,C0878544
6901,C0014117
6901,C0340427
6901,C1449563
6901,C2720289
6901,C0949658
6901,C4021133
6901,C5679590
6902,C0007194
6904,C4310671
6904,C0524851
6904,C5567454
6904,C0025362
6904,C0151786
6904,C0029124
6904,C0034372
6904,C0025958
6904,C1285162
6904,C0264490
6904,C1562894
6904,C0008073
6904,C1853258
6905,C1855840
6905,C1855648
6905,C0020626
6905,C4316787
6905,C4551563
6905,C4310667
6905,C3554638
6905,C0004623
6905,C0029464
6905,C0376634
6905,C0282631
6905,C2930619
6905,C5567451
6905,C4053775
6905,C5681457
6906,C1839141
6906,C4310821
6906,C0025521
6906,C0271836
6907,C5231395
6907,C1510586
6908,C1846707
6908,C0036341
6908,C0011854
6908,C3160718
6908,C4274355
6909,C4748741
6909,C0018817
6909,C0018816
6909,C0027819
6909,C0151744
6909,C0010054
6909,C0264694
6909,C0010068
6909,C4551563
6910,C0265264
6910,C0018818
6910,C0004238
6910,C0018817
6910,C0018798
6910,C0007193
6910,C1389018
6910,C1846474
6910,C0344724
6910,C0014116
6910,C4021133
6910,C0009080
6910,C0575897
6910,C4228778
6910,C4551647
6910,C1862389
6910,C0206736
6910,C0026266
6910,C3805326
6910,C0043202
6910,C3542024
6911,C4083048
6911,C4274761
6911,C1968949
6911,C0036439
6911,C4022737
6913,C1850040
6913,C0376634
6913,C0027626
6913,C0018273
6915,C0004096
6915,C0005818
6915,C0235604
6915,C3279614
6915,C4023141
6915,C0027540
6915,C0035455
6915,C0541767
6915,C4277682
6915,C0019087
6915,C0034065
6916,C1856465
6916,C0033578
6916,C0006142
6916,C0007785
6916,C0040034
6916,C0016522
6916,C4021789
6916,C4551691
6916,C1458140
6916,C1691215
6916,C0003466
6916,C4016444
6916,C0013182
6916,C0398635
6919,C0023467
6921,C0007134
6921,C1336839
6925,C1970431
6925,C0016781
6925,C3714756
6925,C0036341
6925,C1510586
6925,C1535926
6925,C0557874
6925,C0025958
6925,C0008073
6925,C0005586
6925,C0026106
6925,C0566602
6925,C0033975
6925,C0349204
6925,C1333990
6925,C0009405
6925,C1456784
6925,C0023903
6925,C0031117
6925,C2750451
6925,C1840077
6925,C4551563
6925,C1866855
6925,C1855330
6925,C0014850
6925,C0376634
6925,C0038644
6925,C2674608
6925,C2931456
6925,C0038273
6925,C1335029
6925,C0013132
6925,C0678230
6925,C1854114
6925,C0018799
6925,C0034194
6925,C5680502
6926,C1866994
6926,C1458155
6926,C0206762
6926,C0038356
6926,C0033578
6926,C0040427
6926,C0040128
6926,C0038454
6926,C1527349
6926,C1266065
6927,C1838100
6927,C0342276
6927,C0011860
6927,C0011854
6927,C0011849
6927,C0085207
6927,C0007134
6927,C3888631
6927,C2239176
6927,C0020456
6927,C0206669
6927,C0010054
6927,C0010068
6927,C0678222
6927,C1852093
6927,C0009404
6927,C2675866
6927,C0020615
6927,C0271650
6927,C1266042
6927,C0279702
6927,C1140680
6927,C1840646
6927,C0151744
6927,C3837958
6927,C4303475
6927,C0032914
6927,C1299614
6927,C0854110
6927,C0007785
6927,C4290092
6927,C4290091
6927,C0264694
6927,C0346629
6927,C4290090
6927,C1852091
6927,C3837967
6927,C4024448
6927,C5680537
6927,C1843386
6927,C5774200
6927,C0012236
6928,C0011860
6928,C0431693
6928,C0342276
6928,C0022658
6928,C1140680
6928,C4511620
6928,C0033578
6928,C0007134
6928,C1968949
6928,C0022681
6928,C0279702
6928,C3888631
6928,C1266042
6928,C1567426
6928,C0029771
6928,C0158683
6928,C1840451
6928,C0431697
6928,C2931456
6928,C3275899
6928,C3280216
6928,C0431698
6928,C4305568
6929,C0009402
6929,C0023449
6929,C0009404
6929,C0006413
6929,C0086438
6929,C0001768
6929,C1832241
6929,C0026764
6929,C0862030
6929,C4310786
6929,C5676958
6929,C0346629
6929,C5816789
6929,C1333046
6929,C2698315
6929,C1335469
6929,C4552543
6932,C0024141
6932,C0156147
6934,C0011860
6934,C0009404
6934,C0011849
6934,C0085207
6934,C0009402
6934,C0151744
6934,C0010068
6934,C0036341
6934,C0006142
6934,C0033578
6934,C0005586
6934,C0030297
6934,C0376358
6934,C0009375
6934,C0020507
6934,C0346629
6934,C0036337
6934,C0020429
6934,C0004352
6934,C1535926
6934,C3714756
6934,C0153460
6934,C0153459
6934,C0153458
6934,C0153463
6934,C0157916
6934,C0007193
6934,C0600519
6934,C4022737
6934,C4022738
6934,C0409667
6934,C3837967
6934,C2931456
6934,C0157918
6934,C0001418
6934,C0157917
6934,C5568766
6935,C1458155
6935,C0339284
6935,C0016781
6935,C1836724
6935,C0919267
6935,C0010035
6935,C0010036
6935,C0014170
6935,C0238463
6935,C1852555
6935,C0029172
6935,C0079773
6935,C2750448
6935,C0036920
6935,C3665386
6935,C0151744
6935,C0017601
6935,C0027626
